https://youtu.be/MQtw6W03IKw?si=XA4eWxRXTmYYDc9K,凋叶棕,竹ノ花
https://youtu.be/TR7WFO3SJak?si=2ofsyThQjGI3NHIc,凋叶棕,星空に消ゆ
https://youtu.be/vFMiBBWMMSA?si=9UZFyu3VnUMMvhUS,凋叶棕,鳥よ
https://youtu.be/Q40G1j720c0?si=_mABCcdg9ifeaHvG,凋叶棕,salvator noster
https://youtu.be/1_D7kiOR9fA?si=TtoNnXspN-JU_2mp,凋叶棕,「心綺楼」
https://youtu.be/HeW_lb43Wpg?si=4kiyGf91_Sru0bbR,凋叶棕,絶対的一方通行　～ Unreachable Message
https://youtu.be/o2e29ekMYgY?si=OP7LaQGFPWkuUAYI,凋叶棕,もういちど、またここで。
https://youtu.be/bxQir8NQoJ4?si=YVwpaAXCnoRuGsqC,凋叶棕,葬迎
https://youtu.be/v8nC0wNdFMY?si=5_LrgjXDC9Voq71I,凋叶棕,カネと楽園とエゴイスト
https://youtu.be/ZKoEsDDKTko?si=jITqZQFGxo59AvSm,凋叶棕,rebellion -たいせつなもののために-
https://youtu.be/vdm87FhSj-o?si=y4E2l1-mYRQJ4vKS,凋叶棕,幽明境を分かつこと
https://youtu.be/frFUEVk-yP8?si=MLgc0YiOKIzMt4lI,凋叶棕,靴の音を、響かせて、その手を
https://youtu.be/_cRtlYPYlts?si=5niHcQzOJFgJa_dq,凋叶棕,嘘と慟哭
https://youtu.be/4p-WkT_vGJo?si=JE1PTOwY6-34kwVK,凋叶棕,童遊（めらみぽっぷ＆いお ver.）
https://youtu.be/bMilrGUBEHk?si=vHwtpwB08xWMknt2,凋叶棕,祭符「神遊びの唄」
https://youtu.be/sYp8uh4JxAo?si=xO9GJ6Km91nX7YED,凋叶棕,かぜのゆくえ
https://youtu.be/dhg5VHhS8N0?si=iVDAhA96hJL715SK,凋叶棕,嘘のすゝめ
https://youtu.be/MBjHprdhdUw?si=jy2h69DRSNcuS30g,凋叶棕,世界秘封倶楽部化計画
https://youtu.be/mq-0NxdbrQ0?si=NAzPcx56D16A6txB,凋叶棕,Unprivileged Access
https://youtu.be/AdBmQSxHsEA?si=0UfpnlCyIOcMyOmT,凋叶棕,からくれなゐの影
